row_id,fixture_id,gameweek,team,team_short,opponent,opponent_short,venue,official_fdr,goals_for,goals_against,goal_difference,xg,xga,xg_difference,global_gd_quintile,global_xgd_quintile,team_gd_quintile,team_xgd_quintile,pre_match_xg_baseline,xg_factor_vs_team_median,defensive_factor_vs_team_median
200:19,200,20,West Ham,WHU,Wolves,WOL,A,2,0,3,-3,0.25,1.87,-1.62,5,5,5,5,1.133580043859649,0.24875621890547267,0.7727272727272726
192:4,192,20,Bournemouth,BOU,Arsenal,ARS,H,4,2,3,-1,1.43,1.13,0.30000000000000004,4,2,5,3,1.534830043859649,0.8937499999999999,1.185840707964602
192:1,192,20,Arsenal,ARS,Bournemouth,BOU,A,4,3,2,1,1.13,1.43,-0.30000000000000004,2,4,3,5,1.7402467105263157,0.640226628895184,0.3951048951048951
196:11,196,20,Leeds,LEE,Man Utd,MUN,H,3,1,1,0,0.9,1.58,-0.68,3,4,3,4,1.4510800438596492,0.627177700348432,0.8227848101265822
196:14,196,20,Man Utd,MUN,Leeds,LEE,A,3,1,1,0,1.58,0.9,0.68,3,2,4,2,1.699830043859649,1.0193548387096774,1.2722222222222221
194:9,194,20,Everton,EVE,Brentford,BRE,H,3,2,4,-2,0.89,2.66,-1.77,5,5,5,5,1.200246710526316,0.835680751173709,0.5413533834586466
194:5,194,20,Brentford,BRE,Everton,EVE,A,3,4,2,2,2.66,0.89,1.77,1,1,2,1,1.4794133771929825,1.7557755775577557,1.4887640449438204
198:15,198,20,Newcastle,NEW,Crystal Palace,CRY,H,3,2,0,2,2.08,0.7,1.3800000000000001,1,1,1,1,1.4060800438596488,1.4197952218430037,1.8714285714285717
198:8,198,20,Crystal Palace,CRY,Newcastle,NEW,A,3,0,2,-2,0.7,2.08,-1.3800000000000001,5,5,5,5,1.5998300438596489,0.45016077170418,0.6658653846153846
199:18,199,20,Spurs,TOT,Sunderland,SUN,H,2,1,1,0,1.18,0.44,0.74,3,2,2,1,1.035246710526316,1.145631067961165,3.034090909090909
199:17,199,20,Sunderland,SUN,Spurs,TOT,A,3,1,1,0,0.44,1.18,-0.74,3,4,3,3,0.9639967105263159,0.5057471264367817,1.1567796610169492
195:10,195,20,Fulham,FUL,Liverpool,LIV,H,3,2,2,0,0.74,1.37,-0.6300000000000001,3,4,3,4,1.2039967105263158,0.6636771300448431,1.032846715328467
195:12,195,20,Liverpool,LIV,Fulham,FUL,A,3,2,2,0,1.37,0.74,0.6300000000000001,3,2,3,2,1.5556633771929824,0.8753993610223643,1.4256756756756759
197:13,197,20,Man City,MCI,Chelsea,CHE,H,3,1,1,0,1.02,1.85,-0.8300000000000001,3,4,4,5,1.8227467105263158,0.5062034739454095,0.5297297297297296
197:7,197,20,Chelsea,CHE,Man City,MCI,A,5,1,1,0,1.85,1.02,0.8300000000000001,3,2,3,2,1.6664967105263155,1.1314984709480123,1.2401960784313726
210:19,210,21,West Ham,WHU,Nott'm Forest,NFO,H,3,1,2,-1,0.95,1.38,-0.42999999999999994,4,4,4,3,1.0966449999999999,0.945273631840796,1.0471014492753623
210:16,210,21,Nott'm Forest,NFO,West Ham,WHU,A,3,2,1,1,1.38,0.95,0.42999999999999994,2,2,2,2,1.217045,1.2545454545454544,1.536842105263158
202:4,202,21,Bournemouth,BOU,Spurs,TOT,H,3,3,2,1,1.27,1.25,0.020000000000000018,2,3,1,4,1.5290449999999998,0.79375,1.072
202:18,202,21,Spurs,TOT,Bournemouth,BOU,A,4,2,3,-1,1.25,1.27,-0.020000000000000018,4,3,4,2,1.039445,1.2135922330097086,1.0511811023622046
203:5,203,21,Brentford,BRE,Sunderland,SUN,H,2,3,0,3,3.24,1.72,1.5200000000000002,1,1,1,1,1.525045,2.1386138613861387,0.7703488372093025
203:17,203,21,Sunderland,SUN,Brentford,BRE,A,3,0,3,-3,1.72,3.24,-1.5200000000000002,5,5,5,5,0.9414450000000001,1.9770114942528736,0.4212962962962963
205:8,205,21,Crystal Palace,CRY,Aston Villa,AVL,H,3,0,0,0,1.5,1.74,-0.24,3,3,3,4,1.5622449999999999,0.9646302250803858,0.7959770114942529
205:2,205,21,Aston Villa,AVL,Crystal Palace,CRY,A,3,0,0,0,1.74,1.5,0.24,3,3,3,2,1.227845,1.5466666666666666,0.84
206:9,206,21,Everton,EVE,Wolves,WOL,H,1,1,1,0,0.89,0.73,0.16000000000000003,3,3,3,2,1.1862450000000002,0.835680751173709,1.9726027397260273
206:20,206,21,Wolves,WOL,Everton,EVE,A,3,1,1,0,0.73,0.89,-0.16000000000000003,3,3,1,2,1.020645,1.006896551724138,1.4887640449438204
207:10,207,21,Fulham,FUL,Chelsea,CHE,H,3,2,1,1,1.2,2.39,-1.1900000000000002,2,5,2,5,1.183845,1.0762331838565022,0.5920502092050209
207:7,207,21,Chelsea,CHE,Fulham,FUL,A,3,1,2,-1,2.39,1.2,1.1900000000000002,4,1,4,2,1.6722449999999998,1.4617737003058104,1.054166666666667
208:13,208,21,Man City,MCI,Brighton,BHA,H,3,1,1,0,2.55,1.16,1.39,3,1,4,2,1.7890450000000004,1.2655086848635237,0.8448275862068966
208:6,208,21,Brighton,BHA,Man City,MCI,A,5,1,1,0,1.16,2.55,-1.39,3,5,3,5,1.5438450000000001,0.8027681660899655,0.4627450980392157
204:3,204,21,Burnley,BUR,Man Utd,MUN,H,3,2,2,0,0.24,2.55,-2.3099999999999996,3,5,1,5,0.9966449999999999,0.2774566473988439,0.7843137254901962
204:14,204,21,Man Utd,MUN,Burnley,BUR,A,2,2,2,0,2.55,0.24,2.3099999999999996,3,1,4,1,1.6934449999999999,1.6451612903225805,4.770833333333334
209:15,209,21,Newcastle,NEW,Leeds,LEE,H,2,4,3,1,2.43,1.89,0.5400000000000003,2,2,2,2,1.4314449999999999,1.6587030716723552,0.6931216931216931
209:11,209,21,Leeds,LEE,Newcastle,NEW,A,3,3,4,-1,1.89,2.43,-0.5400000000000003,4,4,4,4,1.427445,1.3170731707317072,0.5349794238683128
201:1,201,21,Arsenal,ARS,Liverpool,LIV,H,3,0,0,0,0.57,0.31,0.25999999999999995,3,3,4,4,1.7142450000000002,0.3229461756373937,1.8225806451612903
201:12,201,21,Liverpool,LIV,Arsenal,ARS,A,5,0,0,0,0.31,0.57,-0.25999999999999995,3,3,3,4,1.546645,0.19808306709265175,1.8508771929824566
216:14,216,22,Man Utd,MUN,Man City,MCI,H,4,2,0,2,2.27,0.45,1.82,1,1,1,1,1.727586996336996,1.4645161290322581,2.5444444444444443
216:13,216,22,Man City,MCI,Man Utd,MUN,A,4,0,2,-2,0.45,2.27,-1.82,5,5,5,5,1.8195100732600733,0.2233250620347395,0.4317180616740088
213:7,213,22,Chelsea,CHE,Brentford,BRE,H,3,2,0,2,1.59,1.52,0.07000000000000006,1,3,1,3,1.7010485347985347,0.9724770642201835,0.8322368421052633
213:5,213,22,Brentford,BRE,Chelsea,CHE,A,3,0,2,-2,1.52,1.59,-0.07000000000000006,5,3,5,4,1.5922023809523809,1.0033003300330032,0.8333333333333334
214:11,214,22,Leeds,LEE,Fulham,FUL,H,3,1,0,1,1.43,0.39,1.04,2,2,2,2,1.4464331501831502,0.9965156794425086,3.3333333333333335
214:10,214,22,Fulham,FUL,Leeds,LEE,A,3,0,1,-1,0.39,1.43,-1.04,4,4,4,5,1.1856639194139194,0.34977578475336324,0.9895104895104896
215:12,215,22,Liverpool,LIV,Burnley,BUR,H,1,1,1,0,3.18,0.4,2.7800000000000002,3,1,3,1,1.500279304029304,2.0319488817891376,2.6375
215:3,215,22,Burnley,BUR,Liverpool,LIV,A,4,1,1,0,0.4,3.18,-2.7800000000000002,3,5,2,5,0.9687408424908424,0.46242774566473993,0.6289308176100629
219:18,219,22,Spurs,TOT,West Ham,WHU,H,2,1,2,-1,1.44,2.85,-1.4100000000000001,4,5,4,5,1.0487408424908424,1.3980582524271843,0.4684210526315789
219:19,219,22,West Ham,WHU,Spurs,TOT,A,3,2,1,1,2.85,1.44,1.4100000000000001,2,1,1,1,1.0922023809523809,2.8358208955223883,1.003472222222222
